created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,result extraction,token usage
Fri Nov 17 23:51:26 +0000 2023,1.72566296359036e+18,@kompascom Sdh benar gak datang,,,,,,,,,,"named_entity_recognition: []

aspect_sentiment: []",167
Fri Nov 17 23:51:04 +0000 2023,1.72566286977223e+18,@yyyyyeaaah @4riesgirl_ @shitlicious @jefrinichol Waduh,,,,,,,,,,"named_entity_recognition: [@yyyyyeaaah, @4riesgirl_, @shitlicious, @jefrinichol]

aspect_sentiment: [Waduh (negative)]",205
Fri Nov 17 23:49:42 +0000 2023,1.72566252728215e+18,Prabowo Akan Amputasi Kekuasaan Jokowi Jika Menang Pilpres 2024 https://t.co/lCXFGBtiWx,0.0,0.0,0.0,0.0,in,1.65444474530394e+18,1.72566252728215e+18,rilpolitikcom,https://twitter.com/rilpolitikcom/status/1725662527282155628,"named_entity_recognition: [Prabowo, Jokowi]

aspect_sentiment: [Amputasi (negative), Kekuasaan (neutral), Pilpres 2024 (neutral)]",221
Fri Nov 17 23:48:58 +0000 2023,1.72566234125221e+18,Barisan Perempuan AMIN menyatakan  akan mendukung penuh dan memenangkan AMIN di Pilpres 2024.   Dukungan ini diberikan karena AMIN memiliki misi untuk mendorong â€œPerlindungan dan Kesejahteraan Perempuanâ€ ðŸ¤°ðŸ»  #AMINPeduliPerempuan #AniesMuhaimin2024 https://t.co/NmTw27QeSA,0.0,0.0,0.0,0.0,in,1.44840854271356e+18,1.72566234125221e+18,15Keban,https://twitter.com/15Keban/status/1725662341252219023,"named_entity_recognition: [""Barisan Perempuan AMIN"", ""AMIN"", ""Pilpres 2024"", ""AMIN"", ""Perlindungan dan Kesejahteraan Perempuan"", ""AMINPeduliPerempuan"", ""AniesMuhaimin2024""]

aspect_sentiment: [""mendukung (positive)"", ""memenangkan (positive)"", ""misi untuk mendorong Perlindungan dan Kesejahteraan Perempuan (positive)""]",361
Fri Nov 17 23:48:24 +0000 2023,1.72566219875903e+18,Bantuan hukum diberikan setelah Aiman dilaporkan ke polisi lantaran mengungkap dugaan aparat tak netral dalam Pilpres 2024 https://t.co/wkur9aDkNf,0.0,0.0,0.0,1.0,in,132078023.0,1.72566219875903e+18,officialinews_,https://twitter.com/officialinews_/status/1725662198759034916,"named_entity_recognition: [Aiman, polisi]

aspect_sentiment: [Bantuan hukum (positive), Aiman (neutral), polisi (neutral), dugaan aparat tak netral dalam Pilpres 2024 (negative)]",249
Fri Nov 17 23:46:33 +0000 2023,1.72566173340943e+18,Jadi tak usah saling mendramatisir. Termasuk Jokowi sendiri. Mengatakan Pilpres banyak drama,,,,,,,,,,"named_entity_recognition: [Jokowi, Pilpres]
aspect_sentiment: [mendramatisir (negative), Pilpres (negative), drama (negative)]",207
Fri Nov 17 23:46:05 +0000 2023,1.72566161804925e+18,@HusinShihab @ganjarpranowo @mohmahfudmd Santai saja,,,,,,,,,,"named_entity_recognition: [""@HusinShihab"", ""@ganjarpranowo"", ""@mohmahfudmd""]
aspect_sentiment: [tidak ada aspect yang dapat diidentifikasi]",210
Fri Nov 17 23:43:41 +0000 2023,1.72566101321392e+18,Keren..Barisan Perempuan AMIN menyatakan  akan mendukung penuh dan memenangkan AMIN di Pilpres 2024.  AMIN memiliki misi untuk mendorong â€œPerlindungan dan Kesejahteraan Perempuanâ€ ðŸ¤°ðŸ» Perempuan Indonesia,,,,,,,,,,"named_entity_recognition: [""Barisan Perempuan AMIN"", ""AMIN"", ""AMIN"", ""Perlindungan dan Kesejahteraan Perempuan"", ""Perempuan Indonesia""]

aspect_sentiment: [""mendukung (positive)"", ""memenangkan (positive)"", ""mendorong (positive)"", ""Perlindungan dan Kesejahteraan Perempuan (positive)""]",311
Fri Nov 17 23:43:34 +0000 2023,1.72566098496104e+18,@JJhonpres @ganjarpranowo @mohmahfudmd Santai saja,,,,,,,,,,,0
Fri Nov 17 23:42:59 +0000 2023,1.72566083623947e+18,@VIVAcoid Survey rendah tidak masalah yang penting AMIN menang di pilpres 2024 AamiinðŸ¤²,0.0,0.0,0.0,0.0,in,1.53781009188561e+18,1.72527368758536e+18,TaufiqQ18529183,https://twitter.com/TaufiqQ18529183/status/1725660836239479277,"named_entity_recognition: []

aspect_sentiment: []",186
Fri Nov 17 23:42:54 +0000 2023,1.72566081691629e+18,@Chynthia_K @ganjarpranowo Santai saja,,,,,,,,,,"named_entity_recognition: [""@Chynthia_K"", ""@ganjarpranowo""]
aspect_sentiment: []",179
Fri Nov 17 23:41:26 +0000 2023,1.72566044591335e+18,5) Maka,,,,,,,,,,"named_entity_recognition: []

aspect_sentiment: []",159
Fri Nov 17 23:41:24 +0000 2023,1.72566043864462e+18,3) Semua ingin berada di atas. Pertarungan yg begitu ketat diyakini,,,,,,,,,,"named_entity_recognition: []

aspect_sentiment: [Pertarungan (positive)]",183
Fri Nov 17 23:39:25 +0000 2023,1.72565994018092e+18,@jr_kw20 Santai saja,,,,,,,,,,"named_entity_recognition: []

aspect_sentiment: []",161
Fri Nov 17 23:39:19 +0000 2023,1.72565991607183e+18,ngawal... ya kasihan kl disuruh pulang sendiri malam,,,,,,,,,,"named_entity_recognition: []

aspect_sentiment: [ngawal (negative), kasihan (positive), disuruh pulang sendiri malam (negative)]",195
Fri Nov 17 23:35:27 +0000 2023,1.72565894162613e+18,@ekokuntadhi1 Yang pasti sekarang berharap sekali pak Ganjar bisa emnang pilpres gitu aja deh,0.0,0.0,0.0,0.0,in,1.64608213422089e+18,1.72535751879129e+18,gross72007,https://twitter.com/gross72007/status/1725658941626134932,"named_entity_recognition: [pak Ganjar]
aspect_sentiment: [berharap (positive), bisa emnang pilpres (positive)]",206
Fri Nov 17 23:35:19 +0000 2023,1.72565890715736e+18,No 02 itu angka sial buat Pak Prabowo,,,,,,,,,,"named_entity_recognition: [Pak Prabowo]

aspect_sentiment: [angka (negative)]",180
Fri Nov 17 23:35:18 +0000 2023,1.72565890519448e+18,Temukan dan dapatkan Kaos Baju prabowo gemoy - kaos capres prabowo - kaos prabowo gibran - kaos pilpres 2024 Free Sticker hanya Rp59.900 - Rp74.900 di Shopee sekarang juga! https://t.co/X2WGM1YjSx #ShopeeID https://t.co/CJQY6cVRA5,0.0,0.0,0.0,0.0,in,2993485644.0,1.72565890519448e+18,aris_jenang,https://twitter.com/aris_jenang/status/1725658905194484109,"named_entity_recognition: [Kaos Baju prabowo gemoy, kaos capres prabowo, kaos prabowo gibran, kaos pilpres 2024, ShopeeID]

aspect_sentiment: [Kaos Baju prabowo gemoy (positive), kaos capres prabowo (positive), kaos prabowo gibran (positive), kaos pilpres 2024 (positive), Free Sticker (positive), Shopee (positive)]",339
Fri Nov 17 23:35:18 +0000 2023,1.7256589038774e+18,Masyarakat Menilai Gibran Tidak Mempunyai Kapasitas sebagai Wapres karena hasil Nopotisme Politik #pemilu #pilpres #pemilu2024 #pilpres2024 https://t.co/XGQkwoxNbv,0.0,0.0,0.0,1.0,in,1.61828915405142e+18,1.7256589038774e+18,Liza16144812,https://twitter.com/Liza16144812/status/1725658903877406910,"named_entity_recognition: [Gibran, Nopotisme Politik]
aspect_sentiment: [Masyarakat (negative), Gibran (negative), Kapasitas (negative)]",243
Fri Nov 17 23:34:43 +0000 2023,1.72565875542429e+18,@kangdede78 Yang mempersoalkan ttg perubahan syarat ijasah Capres jaman Megawati maju pilpres pihak @Leonita_Lestari yang notabene dipihak mu,,,,,,,,,,"named_entity_recognition: [""kangdede78"", ""Megawati"", ""Leonita_Lestari""]
aspect_sentiment: [""mempersoalkan (negative)"", ""perubahan syarat ijasah Capres (neutral)"", ""majunya Megawati dalam pilpres (neutral)"", ""pihak Leonita_Lestari (neutral)""]",270
Fri Nov 17 23:33:05 +0000 2023,1.72565834418112e+18,@cofe_machinist @MasPoetranto @jokowi Apa hubungannya pilpres sama Penjajahan Israel? Sekotor apapun manusia jika dia masih punya Kemanusiaan dan memihak yang lemah itu masih bisa disebut Pahlawan. Tetapi sebersih apapun manusia jika dia tidak punya hal d,0.0,1.0,0.0,0.0,in,1.48850824982962e+18,1.72426594187649e+18,utadude,https://twitter.com/utadude/status/1725658344181125229,"named_entity_recognition: [@cofe_machinist, @MasPoetranto, @jokowi, Israel]

aspect_sentiment: [hubungannya (neutral), pilpres (neutral), Penjajahan Israel (negative), manusia (neutral), Kemanusiaan (positive), yang lemah (positive), Pahlawan (positive), manusia (neutral), hal (neutral)]",308
Fri Nov 17 23:29:58 +0000 2023,1.7256575600266e+18,@Auliaginanjar_ @Bizztragakid @kemkominfo Golput tapi harus masang mungkin bisa bet di pilpres negara lain bang,0.0,0.0,0.0,0.0,in,1.6540529207517e+18,1.72520859564053e+18,Parlindunganup,https://twitter.com/Parlindunganup/status/1725657560026607928,"named_entity_recognition: [@Auliaginanjar_, @Bizztragakid, @kemkominfo]
aspect_sentiment: [Golput (negative), masang (positive), bet (positive), pilpres (neutral)]",228
Fri Nov 17 23:32:30 +0000 2023,1.72565820062689e+18,Abraham Samad : Kecurangan Pilpres,,,,,,,,,,"named_entity_recognition: [Abraham Samad, Pilpres]
aspect_sentiment: [Kecurangan (negative)]",181
Fri Nov 17 23:32:59 +0000 2023,1.72565832190942e+18,Tolak oknum pelanggar HAM berat sebagai pemimpin negara! #pemilu #pilpres #pemilu2024 #pilpres2024 https://t.co/WvY0BH2k1Y,4.0,10.0,0.0,43.0,in,1.61828915405142e+18,1.72565832190942e+18,Liza16144812,https://twitter.com/Liza16144812/status/1725658321909420434,"named_entity_recognition: [oknum pelanggar HAM berat, pemimpin negara]

aspect_sentiment: [Tolak (negative), oknum pelanggar HAM berat (negative), pemimpin negara (negative)]",251
Fri Nov 17 23:29:47 +0000 2023,1.72565751549985e+18,@ruhutsitompul Aku buat polling di lapaknya @ruhutsitompul mohon di RT ya Hut ðŸ˜…ðŸ˜… Jika pilpres dilaksanakan hari ini,,,,,,,,,,"named_entity_recognition: [""@ruhutsitompul"", ""@ruhutsitompul""]
aspect_sentiment: [""buat polling (positive)"", ""lapaknya @ruhutsitompul (neutral)"", ""RT (positive)"", ""Hut (positive)"", ""pilpres (neutral)"", ""hari ini (neutral)""]",266
Fri Nov 17 23:29:09 +0000 2023,1.72565735659866e+18,Barisan Perempuan AMIN menyatakan  akan mendukung penuh dan memenangkan AMIN di Pilpres 2024.   Dukungan ini diberikan karena AMIN memiliki misi untuk mendorong â€œPerlindungan dan Kesejahteraan Perempuanâ€ ðŸ¤°ðŸ»  #AMINPeduliPerempuan #AniesMuhaimin2024 https://t.co/B8GWyBLZWE,0.0,0.0,0.0,0.0,in,1.67123589446724e+18,1.72565735659866e+18,FebriSatu,https://twitter.com/FebriSatu/status/1725657356598665685,,0
Fri Nov 17 23:28:34 +0000 2023,1.72565721086755e+18,@Dennysiregar7 Udah ada lagi peraturan MK pemenang pilpres harus mencapai 43,,,,,,,,,,"named_entity_recognition: [MK]

aspect_sentiment: [peraturan (positive), pemenang pilpres (neutral)]",196
Fri Nov 17 23:28:01 +0000 2023,1.72565706879816e+18,Pemilu dan Pilpres kali ini sangat berbeda,,,,,,,,,,"named_entity_recognition: []

aspect_sentiment: []",168
Fri Nov 17 23:27:02 +0000 2023,1.72565682325105e+18,@LOVE_UM4M4 Dri pilpres sebelumnya,,,,,,,,,,"named_entity_recognition: [LOVE_UM4M4, pilpres]
aspect_sentiment: [Dri (positive)]",185
Fri Nov 17 23:24:12 +0000 2023,1.7256561091162e+18,@prabowo yg joget,,,,,,,,,,"named_entity_recognition: [Prabowo]
aspect_sentiment: [joget (positive)]",170
Fri Nov 17 23:21:06 +0000 2023,1.72565532987325e+18,@mbahjhojho PILPRES MEMANG HARUS DIKAWAL FBI ! https://t.co/HE4nwLXhky,0.0,0.0,0.0,0.0,in,1.48165637206876e+18,1.72532243400871e+18,Jarwo87070201,https://twitter.com/Jarwo87070201/status/1725655329873252690,"named_entity_recognition: [FBI]

aspect_sentiment: [PILPRES (positive)]",196
Fri Nov 17 23:20:44 +0000 2023,1.72565523751888e+18,@NenkMonica @gibran_tweet Aku setres aku setres ikut pilpres kalah mulu ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,0.0,0.0,0.0,0.0,in,1.67406078488684e+18,1.72539731792537e+18,SutiarsaE318,https://twitter.com/SutiarsaE318/status/1725655237518889420,"named_entity_recognition: [@NenkMonica, @gibran_tweet]
aspect_sentiment: [aku (negative), setres (negative), pilpres (negative), kalah (negative)]",240
Fri Nov 17 23:17:42 +0000 2023,1.72565447412202e+18,@Alie_Fahnoor Kalah pilpres jadi Menhan. Cuma ada di Indonesia.,0.0,1.0,0.0,1.0,in,8.65142711820574e+17,1.72539899934636e+18,jo_adhi,https://twitter.com/jo_adhi/status/1725654474122023157,"named_entity_recognition: [""Alie_Fahnoor"", ""Indonesia""]
aspect_sentiment: [""Kalah pilpres (negative)"", ""Menhan (neutral)"", ""ada di Indonesia (positive)""]",207
Fri Nov 17 23:15:51 +0000 2023,1.72565400813486e+18,@cha_raf @Paltiwest Krn dr 2014 sudah ada bumbu perpecahan walau sedikit,,,,,,,,,,"named_entity_recognition: [@cha_raf, @Paltiwest]
aspect_sentiment: [bumbu perpecahan (negative)]",202
Fri Nov 17 23:15:30 +0000 2023,1.72565391890939e+18,@KompasTV Ya udh mundur aja pak gak usah ikut pilpres,0.0,1.0,0.0,0.0,in,110598625.0,1.72549639879435e+18,holderdiamond_,https://twitter.com/holderdiamond_/status/1725653918909395070,"named_entity_recognition: [@KompasTV]
aspect_sentiment: [mundur (negative), ikut pilpres (positive)]",192
Fri Nov 17 23:15:25 +0000 2023,1.7256539002783e+18,Survei Terbaru Pilpres: Anies-Prabowo-Ganjar,,,,,,,,,,"named_entity_recognition: [""Anies"", ""Prabowo"", ""Ganjar""]
aspect_sentiment: []",185
Fri Nov 17 23:10:15 +0000 2023,1.7256526008074e+18,@vita_AVP @ganjarpranowo @mohmahfudmd Cukup sudah kader parpol banteng merusak tatanan bernegara jangan pernah pilih kader parpol banteng untuk pilpres 2024 ingat keledai saja ogah nabrak batu yg sama 2 X berturut turut moso kita lebih goblok dari keledai,0.0,0.0,0.0,0.0,in,1.01232450358878e+18,1.72535503003814e+18,JojoBetako,https://twitter.com/JojoBetako/status/1725652600807408051,"named_entity_recognition: [@vita_AVP, @ganjarpranowo, @mohmahfudmd, parpol banteng]

aspect_sentiment: [kader parpol banteng (negative), tatanan bernegara (negative), pilpres 2024 (neutral), keledai (negative), batu (negative), kita (negative)]",312
Fri Nov 17 23:09:22 +0000 2023,1.72565237679799e+18,semoga MK bisa membantu meloloskan... #timnas #TimnasIndonesia #timnasu17 #pilpres #funkinpolitics #AniesMuhaimin #PrabowoGibran #GanjarMahfud https://t.co/AzuQG5PZ8Y,0.0,0.0,0.0,0.0,in,1.55800037008476e+18,1.72565237679799e+18,arifanwar_id,https://twitter.com/arifanwar_id/status/1725652376797995082,"named_entity_recognition: [""MK"", ""timnas"", ""TimnasIndonesia"", ""timnasu17"", ""pilpres"", ""funkinpolitics"", ""AniesMuhaimin"", ""PrabowoGibran"", ""GanjarMahfud""]

aspect_sentiment: [""membantu (positive)""]",284
Fri Nov 17 23:08:23 +0000 2023,1.72565212947253e+18,pilpres periode ini wallahi gak menarik samasekali,0.0,0.0,0.0,0.0,in,1.33200068778637e+18,1.72565212947253e+18,togekissza,https://twitter.com/togekissza/status/1725652129472532916,"named_entity_recognition: []

aspect_sentiment: []",172
Fri Nov 17 23:07:52 +0000 2023,1.72565199900869e+18,@democrazymedia Lah 2019 bukanya anjing2 kayak kaliam milih dia jadi pleciden indonesia?? Sampe imam mesum lari ke arab buat doain dia di depan ka'bah biar menamg pilpres. Pake ijtimak ulama segala. Kalian waktu itu lagi tolol atau gimana??,0.0,0.0,0.0,0.0,in,8.57381488261644e+17,1.72544365949844e+18,ridwan2474,https://twitter.com/ridwan2474/status/1725651999008690313,"named_entity_recognition: [Imam Mesum (PERSON), Indonesia (ORGANIZATION)]

aspect_sentiment: [milih dia (positive), pleciden indonesia (negative), imam mesum lari ke arab (negative), doain dia di depan ka'bah (positive), menang pilpres (positive), ijtimak ulama (positive), tolol (negative)]",302
Fri Nov 17 23:07:40 +0000 2023,1.72565194928096e+18,@DPP_PKB @cakimiNOW AMIN kesejatrahan dan Perlindungan Terhadap kaum Wanita harus di jaga. Pilpres 2024 akan Dukungan Penuh untuk memenangkan AniesMuhaimin,,,,,,,,,,"named_entity_recognition: [""DPP_PKB"", ""cakimiNOW"", ""AniesMuhaimin""]
aspect_sentiment: [""kesejahteraan (positive)"", ""perlindungan terhadap kaum wanita (positive)"", ""dukungan penuh untuk memenangkan AniesMuhaimin (positive)""]",269
Fri Nov 17 23:07:04 +0000 2023,1.72565179736746e+18,@Omm3naja @gue_kadrun Dari Jokowi ikut Pilpres periode pertama saya sudah bisa tahu watak aslinya. Waktu itu beliau bicara di TV mau umumkan siapa Cawapresnya BESOK. Esok harinya saya seharian nonton TV penasaran siapa Cawapresnya. Ternyata bohong,,,,,,,,,,"named_entity_recognition: [Jawaban anda: Jokowi, TV, Cawapresnya]
aspect_sentiment: [Dari Jokowi (positif), bicara di TV (netral), mau umumkan siapa Cawapresnya (netral), Esok harinya (netral), bohong (negatif)]",307
Fri Nov 17 23:06:18 +0000 2023,1.72565160500839e+18,Selamat pagi semesta dan sedulur semuanya,,,,,,,,,,"named_entity_recognition: []

aspect_sentiment: []",168
Fri Nov 17 23:05:54 +0000 2023,1.72565150704193e+18,@adearmando61 Persamaan surat suara pilpres dari tahun 2009-2024 adalah....ada gambar PRABOWO nya ðŸ¤£ðŸ¤£,0.0,0.0,0.0,0.0,in,9.17240991098093e+17,1.72528509373088e+18,fadlanisti12,https://twitter.com/fadlanisti12/status/1725651507041939755,"named_entity_recognition: [""PRABOWO""]

aspect_sentiment: [persamaan surat suara (positive)]",212
Fri Nov 17 23:05:21 +0000 2023,1.72565136802172e+18,@pol_dinasti24 @Miduk17 Menang dari Hongkong,,,,,,,,,,"named_entity_recognition: [""@pol_dinasti24"", ""@Miduk17"", ""Hongkong""]
aspect_sentiment: [""Menang (positive)""]",193
Fri Nov 17 23:04:30 +0000 2023,1.7256511522626e+18,@detikcom udahlah pak biarkan pilpres kali ini berjalan asik..,0.0,0.0,0.0,0.0,in,481834839.0,1.72545951361073e+18,wkwkwkvk,https://twitter.com/wkwkwkvk/status/1725651152262603078,"named_entity_recognition: []

aspect_sentiment: []",174
Fri Nov 17 23:02:52 +0000 2023,1.72565074216454e+18,Soal pilpres: Siapapun pemenangnya,,,,,,,,,,"named_entity_recognition: []

aspect_sentiment: []",168
Fri Nov 17 23:02:51 +0000 2023,1.7256507356843e+18,Di Depan Kantor KPU Berbaris Spanduk Gibran Pilpres 1 Putaran https://t.co/UL3hPmITS4,2.0,4.0,3.0,5.0,in,1.2264360916175e+18,1.7256507356843e+18,keuangannews_id,https://twitter.com/keuangannews_id/status/1725650735684305041,"named_entity_recognition: [KPU, Gibran]
aspect_sentiment: [Di Depan Kantor KPU (positive), Spanduk Gibran (positive), Pilpres 1 Putaran (neutral)]",221
Fri Nov 17 23:02:32 +0000 2023,1.72565065829098e+18,@Nikmatul_Sg berani taruhan,,,,,,,,,,"named_entity_recognition: [@Nikmatul_Sg]
aspect_sentiment: [berani (positive)]",177
Fri Nov 17 23:01:51 +0000 2023,1.72565048732283e+18,@VIVAcoid Menang satu putaran jika pilpres dilakukan di Jawa Barat ya maksudnya haha ðŸ˜,0.0,0.0,0.0,0.0,in,18714127.0,1.72551574033651e+18,yollis,https://twitter.com/yollis/status/1725650487322837380,"named_entity_recognition: [Jawaban anda: Tidak ada entitas yang relevan dengan label ""PERSON"" atau ""ORGANIZATION""]

aspect_sentiment: [Jawaban anda: Tidak ada aspect yang relevan dengan sentiment]",226
Fri Nov 17 22:58:53 +0000 2023,1.72564974042632e+18,Barisan Perempuan AMIN menyatakan  akan mendukung penuh dan memenangkan AMIN di Pilpres 2024.   Dukungan ini diberikan karena AMIN memiliki misi untuk mendorong â€œPerlindungan dan Kesejahteraan Perempuanâ€ #AMINPeduliPerempuan  #AniesMuhaimin2024  @cakimiNOW  @dpp https://t.co/iT4bRgWCbd,0.0,0.0,0.0,1.0,in,1.69801318322996e+18,1.72564974042632e+18,sarungijo123,https://twitter.com/sarungijo123/status/1725649740426326200,"named_entity_recognition: [""Barisan Perempuan AMIN"", ""AMIN"", ""Perlindungan dan Kesejahteraan Perempuan"", ""AMINPeduliPerempuan"", ""AniesMuhaimin2024"", ""cakimiNOW"", ""dpp""]

aspect_sentiment: [""mendukung (positive)"", ""memenangkan (positive)"", ""misi (positive)"", ""mendorong (positive)""]",348
Fri Nov 17 22:58:07 +0000 2023,1.72564954749252e+18,Hahahaha modalnya ðŸ˜ðŸ¤£ðŸ˜ðŸ¤£ Inget Amin Rais pidato pilpres dulu bagus sekali cuman dapat 14% Ngeri banget ya ðŸ˜ðŸ¤£ðŸ˜ðŸ¤£ @dennyindrayana @bachrum_achmadi @alisyarief @musniumar @msaid_didu DON'T JUST BOOK BY KARDUS ðŸ˜ðŸ¤£ðŸ™ðŸ¤£,0.0,0.0,0.0,0.0,in,1085177612.0,1.72564954749252e+18,WismantoWahyu,https://twitter.com/WismantoWahyu/status/1725649547492528244,"named_entity_recognition: [""Amin Rais"", ""Denny Indrayana"", ""Bachrum Achmadi"", ""Alisyarief"", ""Musni Umar"", ""M. Said Didu""]

aspect_sentiment: [""modalnya (positive)"", ""pidato pilpres (positive)"", ""14% (negative)"", ""Ngeri (negative)"", ""book by kardus (negative)""]",374
Fri Nov 17 22:57:10 +0000 2023,1.72564930582505e+18,@genx36545403 @prabowo Capresmu pernah ikut pilpres 3 kali gagal gak?? Ah LEMAH.......   Capres gue dong nih........... Bisa!! https://t.co/uIehFarGSx,0.0,0.0,0.0,1.0,in,8.27143073155076e+17,1.7255437815573e+18,JunairiHeri,https://twitter.com/JunairiHeri/status/1725649305825059199,,0
Fri Nov 17 22:57:06 +0000 2023,1.72564928843138e+18,@ZulkifliLubis69 @aniesbaswedan Perbanyaklah penjegalan agar rakyat semakin yakin memilih @aniesbaswedan karena negara sedang tidak baik2 saja...in shaa Allah AMIN..menang pilpres 2024...aamiin.,0.0,0.0,0.0,0.0,in,1.69426256890137e+18,1.72549456843368e+18,Rah_kmadi,https://twitter.com/Rah_kmadi/status/1725649288431382559,"named_entity_recognition: [""@ZulkifliLubis69"", ""@aniesbaswedan"", ""@aniesbaswedan""]

aspect_sentiment: [""penjegalan (positive)"", ""rakyat (positive)"", ""negara (negative)"", ""pilpres 2024 (positive)""]",276
Fri Nov 17 22:57:04 +0000 2023,1.7256492823118e+18,@cakimiNOW Ya allah kalahkan lah no. 1 di pilpres 2024 AMIN!!!!!,0.0,0.0,0.0,0.0,in,8.57381488261644e+17,1.72529757624384e+18,ridwan2474,https://twitter.com/ridwan2474/status/1725649282311807204,"named_entity_recognition: [cakimiNOW, AMIN]

aspect_sentiment: [kalahkan (negative), no. 1 (positive), pilpres 2024 (neutral)]",208
Fri Nov 17 22:56:31 +0000 2023,1.7256491424821e+18,@cakimiNOW Jaga sikap,,,,,,,,,,"named_entity_recognition: [cakimiNOW (PERSON)]

aspect_sentiment: [Jaga sikap (positive)]",177
