name,text,rt,id,result extraction,token usage,entity,aspect,sentiment
prabowo,@editya77 @rucidewa151 @tatakujiyati @jokowi @ganjarpranowo @prabowo Dapat ini https://t.co/T7wqUALm0X,0,1552234605419237376,"named_entity_recognition: [@editya77, @rucidewa151, @tatakujiyati, @jokowi, @ganjarpranowo, @prabowo]

aspect_sentiment: [Dapat (positive)]",243,"@editya77,@rucidewa151,@tatakujiyati,@jokowi,@ganjarpranowo,@prabowo",Dapat,positive
prabowo,"Tayang kembali, yuk segera merapat ke Youtube @kemhan_ri.
@prabowo 
NgopiDaring Bela Negara
Indonesia Emas 2045
NKR… https://t.co/lAovFtiiY4",2,1549286666799439872,"named_entity_recognition: [""Youtube"", ""@kemhan_ri"", ""@prabowo"", ""Indonesia""]
aspect_sentiment: [""Tayang kembali (positive)"", ""merapat ke Youtube (positive)"", ""NgopiDaring Bela Negara (positive)"", ""Indonesia Emas 2045 (positive)"", ""NKR (neutral)""]",278,"Youtube,@kemhan_ri,@prabowo,Indonesia","Tayang kembali,merapat ke Youtube,NgopiDaring Bela Negara,Indonesia Emas 2045,NKR","positive,positive,positive,positive,neutral"
prabowo,"@TretanMuslim Pasti krna ini yg disalahkan bukan act, tp pendukung prabowo wkwkwk.
Sama aja kelasnya kayak orng bar… https://t.co/vLVdh61RJO",0,1549286666799439872,"named_entity_recognition: [TretanMuslim, Prabowo]
aspect_sentiment: [disalahkan (negative), pendukung prabowo (positive), kelasnya (negative)]",236,"TretanMuslim,Prabowo","disalahkan,pendukung prabowo,kelasnya","negative,positive,negative"
prabowo,"Kapolri Jenderal Listyo Sigit Prabowo mengatakan, tim khusus sedang bekerja dalam menuntaskan kasus kematian Brigad… https://t.co/HeQSr7P4Ft",1,1552476373855244289,"named_entity_recognition: [Kapolri Jenderal Listyo Sigit Prabowo, Brigad]
aspect_sentiment: [tim khusus (positif), kasus kematian (negatif)]",239,"Kapolri Jenderal Listyo Sigit Prabowo,Brigad","tim khusus,kasus kematian","positif,negatif"
prabowo,@cendanao @rucidewa151 @tatakujiyati @jokowi @ganjarpranowo Kalau pemilih bodoh..ga mungkin milih 01 dapetnya 02 sk… https://t.co/wqUZnyKeSD,0,1552476373855244289,"named_entity_recognition: [@cendanao, @rucidewa151, @tatakujiyati, @jokowi, @ganjarpranowo, 01, 02]

aspect_sentiment: [pemilih (negative), milih (positive), dapetnya (positive)]",269,"@cendanao,@rucidewa151,@tatakujiyati,@jokowi,@ganjarpranowo,01,02","pemilih,milih,dapetnya","negative,positive,positive"
prabowo,"Terserah Mbak Puan, anggaplah pertama kali ingin bertemu Pak Prabowo, tetap hari ini Pak Prabowonya sibuk, bagaiman… https://t.co/AIcnH7ezu6",0,1552476373855244289,"named_entity_recognition: [Mbak Puan, Pak Prabowo]
aspect_sentiment: [bertemu (positive), sibuk (negative)]",228,"Mbak Puan,Pak Prabowo","bertemu,sibuk","positive,negative"
prabowo,"Ngopi daring tayang siang ini di Youtube @kemhan_RI, segera nonton! 
@prabowo 
NgopiDaring Bela Negara
Merajut Pres… https://t.co/k4FiZ8PaYZ",2,1551476092749447168,"named_entity_recognition: [""kemhan_RI"", ""prabowo""]
aspect_sentiment: [""Ngopi daring (positive)"", ""Youtube (positive)"", ""Nonton (positive)"", ""NgopiDaring Bela Negara (positive)"", ""Merajut Pres (positive)""]",261,"kemhan_RI,prabowo","Ngopi daring,Youtube,Nonton,NgopiDaring Bela Negara,Merajut Pres","positive,positive,positive,positive,positive"
prabowo,"Guys para anak berprestasi bangsa hadir di ngopi daring, segera ke Youtube @kemhan_RI sekarang! 

@prabowo 
NgopiDa… https://t.co/nytErVsKUp",1,1551476092871081985,"named_entity_recognition: [""Guys"", ""anak berprestasi bangsa"", ""Youtube"", ""@kemhan_RI"", ""@prabowo"", ""NgopiDa""]

aspect_sentiment: [""anak berprestasi bangsa (positive)"", ""Youtube (@kemhan_RI) (neutral)"", ""@prabowo (neutral)"", ""NgopiDa (neutral)""]",279,"Guys,anak berprestasi bangsa,Youtube,@kemhan_RI,@prabowo,NgopiDa","anak berprestasi bangsa,@prabowo,NgopiDa","positive,neutral,neutral"
prabowo,"Cebong vs Kadrun itu ibarat air dan minyak.
 Semoga di tahun 2024 bisa menyatu bagaikan Pak Jokowi dan Pak Prabowo… https://t.co/tsJT5V0054",1,1552471174113660928,"named_entity_recognition: [Pak Jokowi, Pak Prabowo]
aspect_sentiment: [menyatu (positive)]",220,"Pak Jokowi,Pak Prabowo",menyatu,positive
prabowo,"Ngopi daring tayang kembali nih siang ini, segera ke Youtube @kemhan_RI.
@prabowo 
NgopiDaring Bela Negara
Merajut… https://t.co/nRwYkgjiI4",2,1551476092829057026,"named_entity_recognition: [""Ngopi daring"", ""Youtube"", ""@kemhan_RI"", ""@prabowo""]
aspect_sentiment: [""Ngopi daring (positive)"", ""Youtube (neutral)"", ""@kemhan_RI (neutral)"", ""@prabowo (neutral)""]",258,"Ngopi daring,Youtube,@kemhan_RI,@prabowo","Ngopi daring,Youtube,@kemhan_RI,@prabowo","positive,neutral,neutral,neutral"
prabowo,"Rapimnas Gerindra Diundur, Deklarasi Prabowo Capres Ikut Mundur? https://t.co/rhrQNw6bYT",0,1551476092829057026,"named_entity_recognition: [Gerindra, Prabowo]
aspect_sentiment: [Rapimnas (neutral), Deklarasi Prabowo Capres (negative)]",216,"Gerindra,Prabowo","Rapimnas,Deklarasi Prabowo Capres","neutral,negative"
prabowo,@pxddy @SpaceRiders_NFT @Burpss88 @endrowphin @MetaRepublikNFT @almostcliff @metaverseidiot @NATOSHISAKA… https://t.co/FA9TR4QkAs,0,1551476092829057026,"named_entity_recognition: [@pxddy, @SpaceRiders_NFT, @Burpss88, @endrowphin, @MetaRepublikNFT, @almostcliff, @metaverseidiot, @NATOSHISAKA]

aspect_sentiment: [Ekstraksi informasi tidak dapat dilakukan karena komentar tidak mengandung verb atau noun-phrase yang dapat diidentifikasi]",283,"@pxddy,@SpaceRiders_NFT,@Burpss88,@endrowphin,@MetaRepublikNFT,@almostcliff,@metaverseidiot,@NATOSHISAKA",,
prabowo,@Dahnilanzar @prabowo oh,0,1551476092829057026,"named_entity_recognition: [@Dahnilanzar, @prabowo]
aspect_sentiment: []",176,"@Dahnilanzar,@prabowo",,
prabowo,"Nahkodai PERDAMSI, Ini Harapan dr Bobi Prabowo Tiga Tahun Kedepan

#Emergency
#EmergencyMedicine
#perdamsi
#kkei… https://t.co/PeswZCeW1c",0,1551476092829057026,"named_entity_recognition: [PERDAMSI, Bobi Prabowo]
aspect_sentiment: [Nahkodai (positive), Harapan (positive), Tiga Tahun Kedepan (neutral)]",248,"PERDAMSI,Bobi Prabowo","Nahkodai,Harapan,Tiga Tahun Kedepan","positive,positive,neutral"
prabowo,"Cebong vs Kadrun itu ibarat air dan minyak.
 Semoga di tahun 2024 bisa menyatu bagaikan Pak Jokowi dan Pak Prabowo… https://t.co/tsJT5V0054",1,1551476092829057026,"named_entity_recognition: [Pak Jokowi, Pak Prabowo]
aspect_sentiment: [menyatu (positive)]",220,"Pak Jokowi,Pak Prabowo",menyatu,positive
prabowo,"@KomnasHAM 
@muhammadiyah 
@Kota_Tangerang 
@pemkotbekasi 

Salah 1 FAKTOR PerCERAIAN/BerPISAH Adalah FAKTOR EKONOM… https://t.co/oghHcltRTL",1,1534189513479598080,"named_entity_recognition: [@KomnasHAM, @muhammadiyah, @Kota_Tangerang, @pemkotbekasi]

aspect_sentiment: [FAKTOR EKONOM (negative)]",254,"@KomnasHAM,@muhammadiyah,@Kota_Tangerang,@pemkotbekasi",FAKTOR EKONOM,negative
prabowo,"@Kota_Tangerang
@kotabogor 
@pemkotbekasi 

SOSOK&amp;INDIVIDU saya:SANGAT TIDAK berHARAP:Si BAJINGAN&lt;Bayi Jemb*t'ten&gt;… https://t.co/PEV9hnFeck",1,1534830699697831936,"named_entity_recognition: [SANGAT TIDAK berHARAP, Si BAJINGAN, Bayi Jemb*t'ten]
aspect_sentiment: [SOSOK (negative), INDIVIDU (negative)]",263,"SANGAT TIDAK berHARAP,Si BAJINGAN,Bayi Jemb*t'ten","SOSOK,INDIVIDU","negative,negative"
prabowo,@Notchippyy @MoonrunnersNFT Thanks for kindness ❤,0,1534830699697831936,"named_entity_recognition: [""@Notchippyy"", ""@MoonrunnersNFT""]
aspect_sentiment: [kindness (positive)]",187,"@Notchippyy,@MoonrunnersNFT",kindness,positive
prabowo,President Federasi Silat Dunia @prabowo menyampaikan pidato pada Pembukaan kejuaraan pencak silat dunia di Melaka-M… https://t.co/o7mHTTfI2n,26,1552119372952453121,"named_entity_recognition: [President Federasi Silat Dunia, @prabowo, Pembukaan kejuaraan pencak silat dunia, Melaka-M]

aspect_sentiment: [President Federasi Silat Dunia (positive), pidato (neutral), Pembukaan kejuaraan pencak silat dunia (positive), Melaka-M (neutral)]",271,"President Federasi Silat Dunia,@prabowo,Pembukaan kejuaraan pencak silat dunia,Melaka-M","President Federasi Silat Dunia,pidato,Pembukaan kejuaraan pencak silat dunia,Melaka-M","positive,neutral,positive,neutral"
prabowo,@SeruniPuspaAlam @jokowi Dukung Prabowo Subianto,0,1552119372952453121,"named_entity_recognition: [""Prabowo Subianto"", ""SeruniPuspaAlam"", ""jokowi""]
aspect_sentiment: []",196,"Prabowo Subianto,SeruniPuspaAlam,jokowi",,
prabowo,@msaid_didu Pilih Prabowo,0,1552119372952453121,"named_entity_recognition: [Prabowo]

aspect_sentiment: [Pilih (positive)]",174,Prabowo,Pilih,positive
prabowo,@supriatna_sh @SultanZulu20 @ChusnulCh__ @Dennysiregar7 @CutSarina5 @AgusBudiWasono1 @AsliLucuBanget… https://t.co/yJtzDEk4OB,0,1552234605419237376,"named_entity_recognition: [@supriatna_sh, @SultanZulu20, @ChusnulCh__, @Dennysiregar7, @CutSarina5, @AgusBudiWasono1, @AsliLucuBanget]

aspect_sentiment: [Ekstraksi tidak dapat dilakukan karena komentar tidak mengandung verb atau noun-phrase yang dapat diidentifikasi]",292,"@supriatna_sh,@SultanZulu20,@ChusnulCh__,@Dennysiregar7,@CutSarina5,@AgusBudiWasono1,@AsliLucuBanget",,
prabowo,@prabowo gmn ini pak? https://t.co/0R24TFda9M,0,1552234605419237376,"named_entity_recognition: [""@prabowo""]
aspect_sentiment: []",180,@prabowo,,
prabowo,@clarinats Sorry ya lama kemarin tbtb pak prabowo borong risol https://t.co/0IDk2yZJbf,0,1552234605419237376,"named_entity_recognition: [""clarinats"", ""prabowo""]
aspect_sentiment: [""lama (negative)"", ""kemarin (neutral)"", ""tbtb (neutral)"", ""pak prabowo (neutral)"", ""risol (neutral)""]",230,"clarinats,prabowo","lama,kemarin,tbtb,pak prabowo,risol","negative,neutral,neutral,neutral,neutral"
prabowo,"Guys ngopi daring kedatangan para anak berprestasi nih, yuk segera ke Youtube @kemhan_RI.
@prabowo 
NgopiDaring Bel… https://t.co/LE7CvAsmiP",2,1551476092845842433,"named_entity_recognition: [""Guys"", ""Youtube"", ""@kemhan_RI"", ""@prabowo""]
aspect_sentiment: [""ngopi daring (positive)"", ""anak berprestasi (positive)""]",244,"Guys,Youtube,@kemhan_RI,@prabowo","ngopi daring,anak berprestasi","positive,positive"
prabowo,"Pak @prabowo mendapatkan persepsi positif capai 62,8%.
@gerindra 
Kerja Prabowo Terbukti
Masyarakat Makin Percaya
M… https://t.co/uxDOAHZPLj",3,1551415694733893632,"named_entity_recognition: [""@prabowo"", ""@gerindra""]
aspect_sentiment: [""persepsi positif (positive)"", ""Kerja Prabowo Terbukti (positive)"", ""Masyarakat Makin Percaya (positive)""]",253,"@prabowo,@gerindra","persepsi positif,Kerja Prabowo Terbukti,Masyarakat Makin Percaya","positive,positive,positive"
prabowo,"Catat nih, Pak Prabowo menduduki tempat dipuncak di antara sejumlah nama capres yang dilihat saat ini.
@prabowo… https://t.co/UFR2GlYD9j",2,1551415694880677891,"named_entity_recognition: [Pak Prabowo]
aspect_sentiment: [menduduki tempat (positif)]",220,Pak Prabowo,menduduki tempat,positif
prabowo,"@Dahnilanzar @prabowo Kl pengkhianat,  diangkat gimana pun tetap orang akan ingat",0,1551415694880677891,"named_entity_recognition: [""@Dahnilanzar"", ""@prabowo""]
aspect_sentiment: []",195,"@Dahnilanzar,@prabowo",,
prabowo,"Top News Koran Rakyat Merdeka

Mau Bikin Piagam Deklarasi
Prabowo Dan Cak Imin Kok Belum Juga Dikawinin Nih

https://t.co/Vz02sqTwfF",0,1551415694880677891,"named_entity_recognition: [Prabowo, Cak Imin, Koran Rakyat Merdeka]
aspect_sentiment: [Bikin Piagam Deklarasi (positive)]",238,"Prabowo,Cak Imin,Koran Rakyat Merdeka",Bikin Piagam Deklarasi,positive
prabowo,"@Paltiwest Makanya saya bilang justru itu wajah asli nasdem..
Nasionalis hanya jargon doank.

Dulu banget banyak si… https://t.co/InyBCegvs5",0,1551415694880677891,"named_entity_recognition: [Nasdem (ORGANIZATION)]

aspect_sentiment: [wajah asli nasdem (positive), Nasionalis (negative)]",228,Nasdem (ORGANIZATION),"wajah asli nasdem,Nasionalis","positive,negative"
prabowo,"@Dahnilanzar @prabowo Jabatan ini mulia bapak
Daripada politik di negeri ini",0,1552234605419237376,"named_entity_recognition: [""@Dahnilanzar"", ""@prabowo""]
aspect_sentiment: [""Jabatan ini (positive)""]",202,"@Dahnilanzar,@prabowo",Jabatan ini,positive
prabowo,"@TheApeList_ @adutchbro @SaphireNFT @Burpss88
 
@Andytjitra2708
 
@Reilly_Prabowo",0,1552234605419237376,"named_entity_recognition: [@TheApeList_, @adutchbro, @SaphireNFT, @Burpss88, @Andytjitra2708, @Reilly_Prabowo]

aspect_sentiment: [Tidak ada aspect yang dapat diidentifikasi dalam komentar ini]",242,"@TheApeList_,@adutchbro,@SaphireNFT,@Burpss88,@Andytjitra2708,@Reilly_Prabowo",,
prabowo,"Citra positif Pak @prabowo kian meroket ditengah dapatkan komentar negatif. 
@gerindra 
Kerja Prabowo Terbukti
Masy… https://t.co/puLVrf8pjT",2,1551415695098818561,"named_entity_recognition: [""@prabowo"", ""@gerindra""]
aspect_sentiment: [""Citra positif (positive)"", ""Kerja Prabowo Terbukti (positive)""]",242,"@prabowo,@gerindra","Citra positif,Kerja Prabowo Terbukti","positive,positive"
prabowo,"Pak @prabowo diremehkan, citra positif naik menjadi yang tertinggi. 
@gerindra 
Kerja Prabowo Terbukti
Masyarakat M… https://t.co/R24w3AStjR",2,1551415695250014209,"named_entity_recognition: [""@prabowo"", ""@gerindra""]
aspect_sentiment: [""Pak @prabowo (positive)"", ""citra positif (positive)"", ""Kerja Prabowo (positive)""]",249,"@prabowo,@gerindra","Pak @prabowo,citra positif,Kerja Prabowo","positive,positive,positive"
prabowo,"Publik menilai Pak @prabowo menjadi Menteri dengan kinerja terbaik. 
@gerindra
Prabowo Selalu Teratas
Gerindra Sumb… https://t.co/mgc6eX3dSA",2,1549633954465976321,"named_entity_recognition: [""Prabowo"", ""Gerindra""]

aspect_sentiment: [""Menteri (positive)"", ""kinerja (positive)"", ""Prabowo (positive)"", ""Gerindra (positive)""]",246,"Prabowo,Gerindra","Menteri,kinerja,Prabowo,Gerindra","positive,positive,positive,positive"
prabowo,"Yuk segera ke Youtube @kemhan_RI, kehadiran anak-anak berprestasi nih 👍

@prabowo 
NgopiDaring Bela Negara
Merajut… https://t.co/q8hsceKqNb",1,1551476092795588608,"named_entity_recognition: [""Youtube"", ""@kemhan_RI"", ""anak-anak"", ""Prabowo""]
aspect_sentiment: [""Yuk segera ke Youtube (positive)"", ""kehadiran anak-anak berprestasi (positive)"", ""NgopiDaring Bela Negara (neutral)"", ""Merajut (neutral)""]",277,"Youtube,@kemhan_RI,anak-anak,Prabowo","Yuk segera ke Youtube,kehadiran anak-anak berprestasi,NgopiDaring Bela Negara,Merajut","positive,positive,neutral,neutral"
prabowo,@TardWithAHardR @Nftzakcrypto @ThePlagueNFT @Burpss88 @EricEdiputra @almostcliff,0,1551476092795588608,"named_entity_recognition: [""@TardWithAHardR"", ""@Nftzakcrypto"", ""@ThePlagueNFT"", ""@Burpss88"", ""@EricEdiputra"", ""@almostcliff""]

aspect_sentiment: [Tidak ada aspect sentiment yang dapat diidentifikasi dalam komentar tersebut]",241,"@TardWithAHardR,@Nftzakcrypto,@ThePlagueNFT,@Burpss88,@EricEdiputra,@almostcliff",,
prabowo,"2k followers. Thank you! Let’s celebrate with a no ragrets giveaway. 

To win:
🐸 Follow @TardWithAHardR &amp;… https://t.co/OXRk2B93yR",65,1552458234065088512,"named_entity_recognition: [""@TardWithAHardR""]

aspect_sentiment: [""2k followers (positive)"", ""no ragrets giveaway (positive)""]",226,@TardWithAHardR,"2k followers,no ragrets giveaway","positive,positive"
prabowo,Gerindra Undur Rapimnas Pengumuman Prabowo Capres karena Ada Kendala https://t.co/XRTlqtE1s3,0,1552458234065088512,"named_entity_recognition: [Gerindra, Rapimnas, Prabowo]
aspect_sentiment: [Undur (negative), Pengumuman (neutral), Kendala (negative)]",215,"Gerindra,Rapimnas,Prabowo","Undur,Pengumuman,Kendala","negative,neutral,negative"
prabowo,@prabowo @Gerindra Semoga bapak @prabowo dpt segera merespon saya... terima kasih pak.. maju terus Gerindra,0,1552458234065088512,"named_entity_recognition: [""@prabowo"", ""@Gerindra"", ""Gerindra""]
aspect_sentiment: [""merespon (positive)"", ""majuterus Gerindra (positive)""]",226,"@prabowo,@Gerindra,Gerindra","merespon,majuterus Gerindra","positive,positive"
prabowo,"Elektabilitas Pak @prabowo teratas pada survei pilpres mendatang. 
@gerindra
Prabowo Selalu Teratas
Gerindra Sumbu… https://t.co/jQNrE4yzKz",2,1549634709424160768,"named_entity_recognition: [""Prabowo"", ""Gerindra""]
aspect_sentiment: [""Elektabilitas (positive)"", ""survei pilpres (positive)"", ""Gerindra (positive)""]",241,"Prabowo,Gerindra","Elektabilitas,survei pilpres,Gerindra","positive,positive,positive"
prabowo,Gerindra Undur Rapimnas Pengumuman Prabowo Capres karena Ada Kendala https://t.co/sy5YwStVS9,0,1549634709424160768,"named_entity_recognition: [Gerindra, Prabowo]
aspect_sentiment: [Undur (negative), Rapimnas (neutral), Pengumuman (neutral), Prabowo (neutral), Capres (neutral), Kendala (negative)]",228,"Gerindra,Prabowo","Undur,Rapimnas,Pengumuman,Prabowo,Capres,Kendala","negative,neutral,neutral,neutral,neutral,negative"
prabowo,"1x @MooncatzNFT Giveaway

How to Enter:
✅Like + RT
✅Follow @enzosanti93 x @MooncatzNFT 

Winners in 48 hours ⏰… https://t.co/uwGMWJNRYN",239,1552425072706854912,"named_entity_recognition: [""@MooncatzNFT"", ""@enzosanti93"", ""@MooncatzNFT""]
aspect_sentiment: [""Giveaway (positive)"", ""Enter (neutral)"", ""Like (positive)"", ""RT (positive)"", ""Follow (positive)"", ""Winners (positive)"", ""48 hours (neutral)""]",272,"@MooncatzNFT,@enzosanti93,@MooncatzNFT","Giveaway,Enter,Like,RT,Follow,Winners,48 hours","positive,neutral,positive,positive,positive,positive,neutral"
prabowo,"@detikcom Tau kan kenapa skrg, saat Pilpres kmren Pak Jokowi pilih Pak Ma'aruf Amin sbg Wapresnya. Karena org MUI i… https://t.co/NgVE1ASb77",0,1552425072706854912,"named_entity_recognition: [Pak Jokowi, Pak Ma'aruf Amin, MUI]
aspect_sentiment: [Pak Jokowi (positive), Pak Ma'aruf Amin (positive), MUI (neutral)]",248,"Pak Jokowi,Pak Ma'aruf Amin,MUI","Pak Jokowi,Pak Ma'aruf Amin,MUI","positive,positive,neutral"
prabowo,@mop_eth @afarfromhomie @SpaceRiders_NFT @alienfrens @HowittFlynn @TheGhilliesNFT @littlebrain1000 @EricEdiputra @Burpss88 @almostcliff,0,1552425072706854912,"named_entity_recognition: [""@mop_eth"", ""@afarfromhomie"", ""@SpaceRiders_NFT"", ""@alienfrens"", ""@HowittFlynn"", ""@TheGhilliesNFT"", ""@littlebrain1000"", ""@EricEdiputra"", ""@Burpss88"", ""@almostcliff""]

aspect_sentiment: [No aspect or sentiment identified]",272,"@mop_eth,@afarfromhomie,@SpaceRiders_NFT,@alienfrens,@HowittFlynn,@TheGhilliesNFT,@littlebrain1000,@EricEdiputra,@Burpss88,@almostcliff",,
prabowo,"🎁 #NFTGiveaway 🎁
Giving back to those who got us here ❤️

1 @spaceriders_nft #3674
1 @alienfrens (AFE) #2857

🏆 2 w… https://t.co/4oOBE2cwJw",169,1552452021063938049,"named_entity_recognition: [""spaceriders_nft"", ""alienfrens"", ""AFE""]

aspect_sentiment: [""Giving back (positive)"", ""those who got us here (positive)""]",248,"spaceriders_nft,alienfrens,AFE","Giving back,those who got us here","positive,positive"
prabowo,@Gerindra Prabowo presiden,0,1552452021063938049,"named_entity_recognition: [""Gerindra"" (ORGANIZATION), ""Prabowo"" (PERSON)]
aspect_sentiment: [presiden (positive)]",185,"Gerindra (ORGANIZATION),Prabowo (PERSON)",presiden,positive
prabowo,@Dahnilanzar @prabowo Kesampaian jadi president walaupun jadi president silat...!!!,0,1552452021063938049,"named_entity_recognition: [""Dahnilanzar"", ""prabowo""]
aspect_sentiment: [""jadi president (positive)"", ""jadi president silat (negative)""]",206,"Dahnilanzar,prabowo","jadi president,jadi president silat","positive,negative"
prabowo,@prabowo @Gerindra Selamat pagi pak @prabowo saya mohon maaf sebelumnya ekonomi saya tidak terlalu bagus saat ini..… https://t.co/HZOcwFg0gM,0,1552452021063938049,"named_entity_recognition: [""@prabowo"", ""@Gerindra""]

aspect_sentiment: [ekonomi (negatif)]",222,"@prabowo,@Gerindra",ekonomi,negatif
prabowo,"Kapolri Jenderal Listyo Sigit Prabowo mengatakan, akan menyampaikan hasil ekshumasi atau autopsi ulang jenazah Brig… https://t.co/bZqRVqI5vt",0,1552452021063938049,"named_entity_recognition: [Kapolri Jenderal Listyo Sigit Prabowo, Brig]
aspect_sentiment: [ekshumasi (positif), autopsi ulang (positif)]",238,"Kapolri Jenderal Listyo Sigit Prabowo,Brig","ekshumasi,autopsi ulang","positif,positif"
prabowo,Prabowo Subianto Kembali Dipercaya Jadi Presiden Persilat https://t.co/B6Q2kSHF1e #qq288today #prediksipertandingan… https://t.co/ho41cXRmSt,1,1552096068682203136,"named_entity_recognition: [Prabowo Subianto, Persilat, qq288today]
aspect_sentiment: [Prabowo Subianto (positive), Presiden Persilat (positive)]",241,"Prabowo Subianto,Persilat,qq288today","Prabowo Subianto,Presiden Persilat","positive,positive"
prabowo,Cc Pak @prabowo https://t.co/WMZTQOZyjL,0,1552234605419237376,"named_entity_recognition: [""@prabowo""]

aspect_sentiment: []",180,@prabowo,,
prabowo,"ehemmm, jgn kan prabowo ajan dia khianati, ,sejarah bangsa aja diperkosa sm dia tuh https://t.co/YchF5LLAQv https://t.co/2MTtHTRGJr",15,1547065379087757312,"named_entity_recognition: [Prabowo, dia]
aspect_sentiment: [khianati (negative), sejarah bangsa (negative)]",232,"Prabowo,dia","khianati,sejarah bangsa","negative,negative"
